0.5*wheelbase (m)	Axle to Wall Distance (m)	Frame to Wall Distance (m)	Steering Angle (°)	Steering Angle (rad)	Speed (m/s)	Steering Radius (m)	Axle to Center Distance (m)	Wall to Center Distance (m)	Alpha (°)	Beta (°)	Arc Length (m)	Time (s)
5.0	0.9	0.0	25.0	0.4363323129985824	5.0	11.831007915762493	10.722534602547793	9.822534602547792	56.12303993072611	8.876960069273892	1.8330038571777705	0.32292133460334715
5.0	0.9	0.0	20.0	0.3490658503988659	5.0	14.619022000815438	13.737387097273114	12.837387097273114	61.41748232431511	8.58251767568489	2.1898299628609945	0.3762353516281419
5.0	0.9	0.1	25.0	0.4363323129985824	5.0	11.831007915762493	10.722534602547793	9.822534602547792	56.12303993072611	8.876960069273892	1.8330038571777705	0.32292133460334715
5.0	0.9	0.1	20.0	0.3490658503988659	5.0	14.619022000815438	13.737387097273114	12.837387097273114	61.41748232431511	8.58251767568489	2.1898299628609945	0.3762353516281419
5.0	0.9	0.2	25.0	0.4363323129985824	5.0	11.831007915762493	10.722534602547793	9.822534602547792	56.12303993072611	8.876960069273892	1.8330038571777705	0.32292133460334715
5.0	0.9	0.2	20.0	0.3490658503988659	5.0	14.619022000815438	13.737387097273114	12.837387097273114	61.41748232431511	8.58251767568489	2.1898299628609945	0.3762353516281419
5.0	0.9	0.3	25.0	0.4363323129985824	5.0	11.831007915762493	10.722534602547793	9.822534602547792	56.12303993072611	8.876960069273892	1.8330038571777705	0.32292133460334715
5.0	0.9	0.3	20.0	0.3490658503988659	5.0	14.619022000815438	13.737387097273114	12.837387097273114	61.41748232431511	8.58251767568489	2.1898299628609945	0.3762353516281419
5.0	0.9	0.4	25.0	0.4363323129985824	5.0	11.831007915762493	10.722534602547793	9.822534602547792	56.12303993072611	8.876960069273892	1.8330038571777705	0.32292133460334715
5.0	0.9	0.4	20.0	0.3490658503988659	5.0	14.619022000815438	13.737387097273114	12.837387097273114	61.41748232431511	8.58251767568489	2.1898299628609945	0.3762353516281419
